song_id,song_name,song_author,song_file,bpm,Easy,Normal,Hard,Expert,ExpertPlus
aaj,Aaj,Bloodywood,song.ogg,180.0,Easy.dat,,,,
africatotometalcover,Africa - Toto (Metal Cover),"Leo Moracchioli, Rabea, Hannah",song.ogg,105.0,,,,,ExpertPlus.dat
afterlife,Afterlife,Avenged Sevenfold,song.ogg,220.0,Easy.dat,,,,
alerion,Alerion,Asking Alexandria,song.ogg,130.0,,NormalStandard.dat,HardStandard.dat,,ExpertPlusStandard.dat
alittlepieceofheaven,A Little Piece of Heaven,Avenged Sevenfold,song.ogg,144.98599243164062,,,,,
alleyesonmesongonly,All Eyes On Me (Song Only),Bo Burnham,song.ogg,117.0,,,HardStandard.dat,,
allfutures,ALL FUTURES,The Armed,song.ogg,117.0,,,,ExpertStandard.dat,
alliwant,All I Want,A Day To Remember,song.ogg,160.0,Easy.dat,,,,
allsoulsnight,All souls night,Triddana,song.ogg,160.0,Easy.dat,,,,
allstar,All Star,Smash Mouth,song.ogg,104.0,Easy.dat,,,,
allthesethingsthativedone,All These Things That Ive Done,The Killers,song.ogg,118.18299865722656,,,HardStandard.dat,,
amalfi,Amalfi,Engelwood & iamalex,song.ogg,122.0,Easy.dat,,,,
amishparadise,Amish Paradise,Weird Al Yankovic,song.ogg,82.0,Easy.dat,,,,
amongststars,Amongst Stars,Amorphis,AmongstStars.ogg,136.0,,,,,ExpertPlusStandard.dat
amongusdriptrapremix,Among Us Drip (Trap Remix),Leonz,song.ogg,90.0,Easy.dat,,,,
anarchyintheuk,Anarchy in the UK,Genesis Owusu,song.ogg,101.0,,,,ExpertStandard.dat,
angusmcfife,Angus McFife,GloryHammer,song.ogg,90.0,Easy.dat,Normal.dat,,,
animals,Animals,Nickelback,song.ogg,77.0,Easy.dat,Normal.dat,,,
anothermedium,Another Medium,Toby Fox,song.ogg,130.0,Easy.dat,,,,
anythingtonumb,Anything to Numb,Varials,song.ogg,158.0,Easy.dat,,,,
apunk,APunk,Vampire Weekend,song.ogg,175.0,,Normal.dat,Hard.dat,Expert.dat,
archangel,Archangel,Amaranthe,song.ogg,180.0,Easy.dat,,,,
armageddon,Armageddon,Battle Beast,song.ogg,156.0,Easy.dat,Normal.dat,,,
armyofthenight,Army of the Night,Powerwolf,song.ogg,172.0,,,,,ExpertPlusStandard.dat
arsonist,Arsonist,"Barely Alive, PhaseOne, Virus Syndicate",song.ogg,150.0,,,HardStandard.dat,ExpertStandard.dat,ExpertPlusStandard.dat
artifacter,Artifacter,,song.ogg,181.0,,,,,ExpertPlus.dat
asgore,ASGORE,Toby Fox,song.ogg,113.0,Easy.dat,,,,
ashenrain,Ashen Rain,Orden Ogan,song.ogg,205.0,Easy.dat,,,,
asitwas,As It Was,Harry Styles,song.ogg,174.0,,,HardStandard.dat,,ExpertPlusStandard.dat
assassinscreed,Assassin'S creed,Srod Almenara,song.ogg,123.0,Easy.dat,,,,
astronautintheoceancover,Astronaut In The Ocean (Cover),Our Last Night,song.ogg,150.0,Easy.dat,,,,
asylum,Asylum,Vended,song.ogg,140.0,,,HardStandard.dat,,
athletictheme,Athletic Theme,Super Mario World,song.ogg,159.0,,,,,ExpertPlus.dat
athleticthemepalversionsupermarioworld,Athletic Theme (PAL Version) - Super Mario World,SilvaGunner,song.ogg,79.0,Easy.dat,,,,
avousdiraijemaman,A vous dirai-je Maman,Les Patapons,song.ogg,68.0,Easy.dat,,,,
awaken,Awaken,Dethklok,song.ogg,190.0,Easy.dat,,,,
awholenewworldmetalcover,A whole new world (Metal Cover),D-Metal Stars,song.ogg,140.0,Easy.dat,,,,
awolfinmyheart,A Wolf In My Heart,Heidevolk,song.ogg,134.0,Easy.dat,Normal.dat,,,
aynalikemereceekrenremix,AYNALI KEMER (ECE EKREN REMIX),Barış Manço,song.ogg,100.0,Easy.dat,,,,
badapplefeatcristinavee,BAD APPLE!!      (Feat. Cristina Vee),RichaadEB,song.ogg,138.0,Easy.dat,Normal.dat,,,
badapplemetalcover,Bad Apple Metal Cover,RichaadEB,song.ogg,130.0,Easy.dat,,,,
bakamitai,Baka Mitai,Kazuma Kiryu,song.ogg,148.0,,Normal.dat,,,
baldr,Baldr,Corvus Corax,song.ogg,124.0,Easy.dat,,,,
bandito,Bandito,Twenty One Pilots,song.ogg,127.0,Easy.dat,,,,
barbarianism,Barbarianism,Ian Taylor,song.ogg,120.0,Easy.dat,,,,
barrenking,Barren King,Manntra,barren king manntra.ogg,204.0,Easy.dat,,,,
bastardsonofodin,Bastard Son of Odin,Battle Beast,song.ogg,160.0,,,,,ExpertPlusStandard.dat
battleagainstatrueherofromundertale,"Battle Against A True Hero (From ""Undertale"")",FalKKonE,song.ogg,150.0,Easy.dat,,,,
battleelitefour,Battle! (Elite Four),Junichi Masuda,song.ogg,106.5,Easy.dat,,,,
battleforeternity,Battle For Eternity,Gloryhammer,song.ogg,105.0,,,HardStandard.dat,ExpertStandard.dat,ExpertPlusStandard.dat
beastinblack,Beast in Black,Beast in Black,song.ogg,178.0,Easy.dat,Normal.dat,,,
beastofgevaudan,Beast of Gevaudan,Powerwolf,song.ogg,102.0,Easy.dat,,,,
beerformyhorses,Beer For My Horses,Toby Keith Ft Willie Nelson,song.ogg,119.04399871826172,,NormalStandard.dat,,ExpertStandard.dat,
beerussonggod,BEERUS SONG - God,Divide Music,song.ogg,75.0,Easy.dat,,,,
beforetheend,Before The End,Phoenix Down,song.ogg,95.0,Easy.dat,,,,
believe,Believe,Phoenix Down,song.ogg,130.0,Easy.dat,,,,
believeinyourself,Believe in yourself,阿部真央,song.ogg,171.0,Easy.dat,,,,
benzin,Benzin,Rammstein,benzin.ogg,142.0,,,,,ExpertPlusStandard.dat
beyondthedarksun,Beyond The Dark Sun,Wintersun,song.egg,180.0,,,,,ExpertPlusStandard.dat
bfgdivision,BFG Division,Mick Gordon,fullver.ogg,155.0,,,,ExpertStandard.dat,ExpertPlusStandard.dat
bfgdivisionshortver,BFG Division (Short Ver.),Mick Gordon,shortver.ogg,155.0,,,,ExpertStandard.dat,ExpertPlusStandard.dat
bidfarwell,Bid Farwell,KillSwitch Engage,song.ogg,240.0,Easy.dat,,,,
bigblastsonic,Big Blast Sonic,Daisuke Ishiwatari and Naoki Hashimoto,song.ogg,96.0,Easy.dat,,,,
bismarck,Bismarck,Sabaton,song.ogg,95.0,Easy.dat,,,,
bitchlasagna,Bitch Lasagna,Party in Backyard (ft. Pewdiepie),song.ogg,150.0,Easy.dat,,,,
biteyourteeth,Bite Your Teeth,Poppy,song.ogg,94.0,,,,ExpertStandard.dat,ExpertPlusStandard.dat
blackbetty,Black Betty,Caravan Palace,song.ogg,122.0,,,,,ExpertPlus.dat
blackmagic,Black Magic,Kill The Noise,song.ogg,172.0,,,,ExpertStandard.dat,ExpertPlusStandard.dat
blackrosesforthewickedones,Black Roses for the Wicked Ones,Elvenking,song.ogg,145.0,Easy.dat,,,,
blacksheep,Black Sheep,The Clash at Demonhead,song.ogg,124.0,,,,,ExpertPlusStandard.dat
blacktears,Black Tears,Edge of Sanity,song.ogg,90.0,Easy.dat,,,,
bleeditout,Bleed It Out,Linkin Park,song.ogg,141.0,Easy.dat,,,,
blend,Blend,Netsky,song.ogg,175.0,Easy.dat,,,,
blessedandpossessed,Blessed and Possessed,Powerwolf,song.ogg,194.0,Easy.dat,,,,
blindandfrozen,Blind and Frozen,Beast in Black,song.ogg,146.0,Easy.dat,,,,
blindfaith,Blind Faith,No Bragging Rights,song.ogg,155.0,Easy.dat,,,,
blindinglights,Blinding Lights,Feuerschwanz,song.ogg,170.0,Easy.dat,Normal.dat,,,
bloodforblood,Blood for Blood,POWERWOLF,song.ogg,126.0,Easy.dat,,,,
bloodofheroes,Blood of Heroes,Tyr,song.ogg,108.0,Easy.dat,,,,
bloodyunholychristmas,Bloody Unholy Christmas,Bloodsucking Zombies From Outer Space,song.ogg,121.0,,,,ExpertStandard.dat,
blowmeaway,Blow Me Away,Breaking Benjamin,BreakingBenjaminBlowMeAway.ogg,196.9199981689453,,,HardStandard.dat,ExpertStandard.dat,
bodysurfing,body  surfing,santana,song.ogg,142.0,Easy.dat,,,,
bonetrousle,Bonetrousle,Toby Fox,song.ogg,150.0,Easy.dat,,,,
boneyards,Boneyards,Parkway Drive,song.ogg,212.0,Easy.dat,,,,
bossofme,Boss of Me,They Might Be Giants,boss.ogg,100.63999938964844,,,,,ExpertPlusStandard.dat
bowdown,Bow Down,I Prevail,song.ogg,155.0,Easy.dat,,,,
braver,Braver,ZAQ,song.ogg,94.0,,,,,ExpertPlusStandard.dat
breakingthelaw,Breaking the Law,Judas Priest,song.ogg,164.0,Easy.dat,Normal.dat,,,
breakingthemirror,Breaking the Mirror,Fit For A King,song.ogg,93.0,Easy.dat,,,,
breakingthroughthebarriergenkaitoppa,Breaking Through The Barrier (Genkai Toppa),5150,song.ogg,180.0,Easy.dat,,,,
breakthecycle,Break The Cycle,For Today,song.ogg,135.0,Easy.dat,Normal.dat,,,
breakthewall,Break the Wall,DREAMCATCHER,wall.ogg,80.0,,,,ExpertStandard.dat,ExpertPlusStandard.dat
breakup,2004 Breakup,The Gentle Men,song.ogg,90.0,Easy.dat,,,,
breaveheart,breaveheart,ljudo,song.ogg,120.0,Easy.dat,,,,
brickhouseii,Brick House II,Commodores,song.ogg,108.0,Easy.dat,,,,
briefcaseno,Briefcase No. 1,Tartanic,song.ogg,106.0,Easy.dat,,,,
bringmetolife,bring me to life,Evanescence,song.ogg,129.0,Easy.dat,,,,
bubblegum,Bubble Gum,Circus-P,BubbleGum.ogg,155.0,,,,,ExpertPlusStandard.dat
buildourmachine,Build Our Machine,DaGames,song.ogg,130.0,,Normal.dat,,,
buriedalive,Buried Alive,One Desire,alive.ogg,205.0,,,,,ExpertPlusStandard.dat
burstygreedyspider,Bursty Greedy Spider,Konomi Suzuki,song.ogg,178.0,,,,,ExpertPlusStandard.dat
butterfly,Butterfly,Kmac2021,song.ogg,105.0,Easy.dat,,,,
byebyebeautiful,Bye Bye Beautiful,Nightwish,beautiful.ogg,148.0,,,,,ExpertPlusStandard.dat
callmelittlesunshine,Call Me Little Sunshine,Ghost,song.ogg,88.0,Easy.dat,Normal.dat,,,
cancan,Can-Can,Megaraptor,song.ogg,166.0,Easy.dat,Normal.dat,,,
candles,"100,000 Candles",Red City Radio,song.ogg,148.0,Easy.dat,,,,
cantdefeatairman,Can’t Defeat A irman,Team.ねこかん【猫】,song.ogg,200.0,Easy.dat,Normal.dat,,,
capehorn,Cape Horn,Celtica - Pipes Rock!,song.ogg,90.0,Easy.dat,,,,
cavalryinthousands,   Cavalry In Thousands,Tengger Cavalry,cavalry in thousands.ogg,192.0,Easy.dat,,,,
chainbreaker,Chain breaker,Brothers of metal,song.ogg,95.0,Easy.dat,,,,
changes,Changes,XXXTENTACION,song.ogg,130.0,Easy.dat,Normal.dat,,,
childrenoftheeldergod,Children of the Elder God,Old Gods of Asgard,song.ogg,95.0,Easy.dat,,,,
chiochiosan,Chio-Chio San,Carmen,song.ogg,124.0,Easy.dat,,,,
chip,Chip,The Real McKenzies,song.ogg,160.0,,,,,ExpertPlusStandard.dat
chopsuey,Chop Suey,System of a Down,song.ogg,127.0,,,Hard.dat,Expert.dat,ExpertPlus.dat
chopu,Chop U!,Manabu Namiki,song.ogg,170.15,Easy.dat,Normal.dat,,,
christmasevesarajevo,Christmas Eve (Sarajevo 12/24),Trans-Siberian Orchestra,song.ogg,62.1,Easy.dat,,,,
christmastruce,Christmas Truce,Sabaton,song.ogg,62.0,Easy.dat,,,,
cirice,Cirice,Ghost,song.ogg,90.0,Easy.dat,,,,
clinteastwood,Clint Eastwood,Phoenix Down,song.ogg,85.0,Easy.dat,,,,
coffin,Coffin,Life After Life,song.ogg,131.0,Easy.dat,,,,
coincidance,Coincidance,Handsome Dancer,song.ogg,130.0,Easy.dat,,,,
coldbelow,Cold Below,Warframe,song.ogg,280.0,Easy.dat,,,,
coliseum,Coliseum,Aria,song.ogg,125.0,Easy.dat,,,,
collapse,Collapse,After The Burial,song.ogg,154.0,Easy.dat,,,,
collectiveconsciousness,Collective Consciousness,Jamie Christoferson & Logan Mader (ft. Jimmy Gnecco),song.ogg,160.0,Easy.dat,Normal.dat,,,
comeoneileen,Come On Eileen,Dexys Midnight Runners,song.ogg,107.0,Easy.dat,,,,
confideinnoone,Confide in No One,Hatebreed,confide.ogg,141.80999755859375,,,,ExpertStandard.dat,ExpertPlusStandard.dat
configsys,CONFIG.SYS,MASTER BOOT RECORD,song.ogg,124.0,Easy.dat,,,,
congratulations,Congratulations!,Pewdiepie (ft. Roomie & Boyinaband),song.ogg,136.0,Easy.dat,,,,
copyrightbtchfeatsekai,Copyright B*tch (feat. SEKAI),Utsu-P,CopyrightBitch.ogg,190.0,,,,,ExpertPlusStandard.dat
core,CORE,Toby Fox,song.ogg,140.0,Easy.dat,,,,
countingstars,Counting Stars,OneRapublic,song.ogg,122.0,Easy.dat,,,,
crabrave,Crab Rave,RichaadEB,song.ogg,250.0,Easy.dat,,,,
creampiesempai,Creampie Sempai,KULAK LUBVI,song.ogg,200.0,Easy.dat,,,,
creativeexercisemariopaint,Creative Exercise - Mario Paint,SilvaGunner,song.ogg,131.8,Easy.dat,,,,
creep,Creep,Radiohead,song.ogg,96.0,Easy.dat,Normal.dat,Hard.dat,,
cryofachilles,Cry of Achilles,Alter Bridge,song.ogg,140.0,Easy.dat,Normal.dat,Hard.dat,,
crythunder,Cry Thunder,DragonForce,DragonForce  -  Cry Thunder.egg,130.0,,,,Expert.dat,
cthulhu,Cthulhu,Grailknights,song.ogg,96.0,Easy.dat,Normal.dat,,,
cuntcrusher,Cuntcrusher,Infant Annihilator,cuntcrusher.ogg,260.0,,,HardStandard.dat,ExpertStandard.dat,ExpertPlusStandard.dat
cutthecord,Cut the cord,Shinedown,song.ogg,177.815,,,,,
cybertrapvol,Cyber Trap Vol. 1,Eliminate,cybertrap.ogg,150.0,,,,,ExpertPlusStandard.dat
dadadadadadadadadada,DADADADADADADADADADA,Hige Driver,song.ogg,156.0,Easy.dat,,,,
dancinginthemoonlightjohnnylectroremix,Dancing In The Moonlight (Johnny Lectro Remix),King Harvest,song.ogg,123.0,Easy.dat,,,,
dancingwiththedead,Dancing With The Dead,Powerwolf,song.ogg,166.0,Easy.dat,Normal.dat,,,
dangerdanger,"Danger, Danger",Alan Schmuckler (My Little Pony: A New Generation),song.ogg,115.0,Easy.dat,,,,
dansinum,Í Dansinum,SKÁLD,song.ogg,160.0,,,Hard.dat,,
darkchestofwonder,Dark Chest of Wonder,Nightwish,song.ogg,95.0,Easy.dat,,,,
darkflag,Dark Flag,Phinehas,song.ogg,128.0,Easy.dat,,,,
daselftegebot,Das Elfte Gebot,Feuerschwanz,song.ogg,164.0,Easy.dat,,,,
dawnofvictory,Dawn of Victory,Rhapsody of Fire,song.ogg,190.0,Easy.dat,,,,
daydreambcmremix,Daydream (BCM Remix),RiraN,daydreambcm.ogg,160.0,,,,,ExpertPlusStandard.dat
deathmisfortuneandtheamanojaku,"Death, Misfortune, and the Amanojaku",MASA,song.ogg,160.0,Easy.dat,,,,
deathroll,Death Roll,Wage War,song.ogg,123.0,Easy.dat,,,,
decisivebattlehooh,Decisive Battle! Ho-oh!,Hito Ookami,song.ogg,180.0,Easy.dat,,,,
dedicatedlive,Dedicated ( Live),Parkway Drive,song.ogg,180.0,Easy.dat,,,,
deepinabyss,Deep in Abyss,"Riko (CV: Miyu Tomita), Reg (CV: Ise Mariya)",song.ogg,135.0,,,,,ExpertPlusStandard.dat
deepjungle,Deep Jungle,Yoko Shimomura,song.ogg,120.0,Easy.dat,,,,
defector,Defector,Muse,song.ogg,77.0,Easy.dat,,,,
defenceofmoscow,Defence of Moscow,Sabaton,song.ogg,110.0,Easy.dat,,,,
deify,Deify,Distubed,song.ogg,105.0,Easy.dat,Normal.dat,,,
deinefreundin,Deine Freundin,SDP,song.ogg,127.0,,,,,ExpertPlusStandard.dat
deleto,Deleto,Wolf & Bear,song.ogg,155.0,Easy.dat,Normal.dat,Hard.dat,,
demolisher,Demolisher,Slaughter To Prevail,song.ogg,200.0,Easy.dat,,,,
departure,departure!,GALNERYUS,departure!.ogg,146.0,,,,,ExpertPlusStandard.dat
derteufelhatdenschnapsgemacht,Der Teufel hat den Schnaps gemacht,Schandmaul,song.ogg,125.0,Easy.dat,,,,
derweiher,Der Weiher,Empyrium,song.ogg,100.0,EasyStandard.dat,,,,
desperadovespa,Desperado Vespa,LOOK MUM NO COMPUTER,song.ogg,100.0,Easy.dat,,,,
deusex,DeusEx,LittleV,song.ogg,120.0,Easy.dat,,,,
devilisaloser,Devil is a Loser,Lordi,devil.ogg,145.0,,,,ExpertStandard.dat,ExpertPlusStandard.dat
devilsisland,Devil's Island,Megadeth,devils3.ogg,74.5,,,,,ExpertPlusStandard.dat
devilsnevercry,Devils Never Cry,"Tetsuya Shibata, Capcom Sound Team",song.ogg,120.0,Easy.dat,,,,
devilsnevercryhrhmver,Devils Never Cry (HR/HM Ver.),Tetsuya Shibata (Devil May Cry 5 SE),song.ogg,150.0,Easy.dat,Normal.dat,Hard.dat,,
deviltrigger,Devil Trigger,Devil May Cry 5 OST,song.ogg,160.0,,,Hard.dat,Expert.dat,ExpertPlus.dat
dexter,Dexter,Hand Of Mercy,song.ogg,170.0,Easy.dat,,,,
diamondeyesinstrumental,Diamond Eyes (Instrumental),Deftones,song.ogg,130.0,Easy.dat,,,,
diebytheblade,Die by the blade,Beast in black,song.ogg,141.0,Easy.dat,,,,
diemfdie,Die MF Die,Dope,die.ogg,125.97799682617188,,,,ExpertStandard.dat,ExpertPlusStandard.dat
dig,Dig,Mudvayne,song.ogg,135.0,Easy.dat,,,,
diggydiggyhole,Diggy Diggy Hole,Wind Rose,diggy.ogg,125.0,,,,ExpertStandard.dat,ExpertPlusStandard.dat
dirtydisco,Dirty Disco,ZomBoy,song.ogg,120.0,,Normal.dat,,,
dirtylittleanimals,Dirty Little Animals,BONES UK,song.ogg,106.0,Easy.dat,,,,
discovision,DiscoVision,Anders Enger Jensen,song.ogg,119.0,Easy.dat,,,,
disorderrebirth,Disorder (Rebirth),RIOT,song.ogg,150.0,Easy.dat,,,,
disposableheroes,Disposable Heroes,Metallica,song.ogg,205.0,,,,ExpertStandard.dat,ExpertPlusStandard.dat
divadance,Diva Dance,The Fifth Element,song.ogg,120.0,Easy.dat,,,,
dna,島国DNA,打首獄門同好会,song.ogg,177.0,Easy.dat,,,,
domadagr,Domadagr,Danheim,song.ogg,103.0,Easy.dat,,,,
dontmesswithme,Don't Mess With Me,Brody Dalle,song.ogg,163.9810028076172,,,,ExpertStandard.dat,
doomsday,Doomsday,Architects,song.ogg,125.0,Easy.dat,,,,
downgradedesert,Downgrade Desert,Igorrr,Downgrade.ogg,110.0,,,,,ExpertPlusStandard.dat
downwiththesickness,Down With The Sickness,Disturbed,song.ogg,89.80006016604031,,,Hard.dat,Expert.dat,
doyouwannatasteit,Do You Wanna Taste It,Wig Wam,song.ogg,92.0,Easy.dat,,,,
dragonborn,Dragonborn,Headhunterz,dragonbornhh.ogg,150.0,,,,ExpertStandard.dat,ExpertPlusStandard.dat
dragonliesbleeding,Dragon Lies Bleeding,Hammerfall,DragonLiesBleeding.ogg,153.97999572753906,,NormalStandard.dat,,,
draugensmaelstrom,Draugen's Maelstrom,Elvenking,song.ogg,160.0,Easy.dat,,,,
dreamer,Dreamer,Voyager,dreamer.ogg,125.0,,,,,ExpertPlusStandard.dat
drink,Drink,AleStorm,song.ogg,160.0,Easy.dat,,,,
ducktales,DuckTales,Felicia Barton,song.ogg,91.5,,,,ExpertStandard.dat,
duelofthefatesstarwarsmetal,Duel of the Fates (Star Wars Metal),Megaraptor,song.ogg,158.0,Easy.dat,,,,
duhast,Du hast,Rammstein,song.ogg,125.0999984741211,,NormalStandard.dat,,ExpertStandard.dat,
dumainest,Dumaine St,Trombone Shorty,song.ogg,93.0,Easy.dat,Normal.dat,,,
dumdeedum,Dum Dee Dum,Keys N Krates,song.ogg,160.0,Easy.dat,,,,
earthwalker,Earthwalker,In Hearts Wake,song.ogg,120.0,Easy.dat,,,,
edamame,Edamame,bbno$ and Rich Brian,song.ogg,106.0,Easy.dat,,,,
einherjar,Einherjar,Danheim,song.ogg,114.0,Easy.dat,,,,
einherjr,Einherjr,Hulkoff,song.ogg,140.0,Easy.dat,,,,
elnano,El Nano,Melendi,song.ogg,118.05000305175781,,,,ExpertStandard.dat,
elorenezz,Elore Nezz,theGrenma,song.ogg,175.0,,,HardStandard.dat,ExpertStandard.dat,ExpertPlusStandard.dat
elsasprocessiontothecathedral,Elsa's Procession to the Cathedral,Richard Wagner,Elsa.ogg,100.0,EasyStandard.dat,,,,
